variavel,descricao,tipo,subtipo
survived,Indica se o passageiro sobreviveu ou não.,qualitativa,nominal
pclass,Indica a classe do passageiro usando números inteiros.,qualitativa,ordinal
sex,Indica o gênero do passageiro.,qualitativa,nominal
age,Indica a idade do passageiro.,quantitativa,contínua
sibsp,Indica a quantidade de irmãos e/ou conjuguês a bordo.,quantitativa,discreta
parch,indica a quantidade de pais e/ou filhos a bordo.,quantitativa,discreta
fare,indica o valor da tarifa paga pelo passageiro.,quantitativa,contínua
embarked,indica o porto de embarcação do passageiro.,qualitativa,nominal
class,Indica a classe do passageiro usando string.,qualitativa,ordinal
who,"Indica se é um homem, mulher ou criança.",qualitativa,nominal
adult_male,Indica se o passageiro é um homem adulto.,qualitativa,nominal
deck,Indica o convés  do navio.,quanlitativa,ordinal
embark_town,Indica a cidade de embarque d passageiro.,qualitativa,nominal
alive,Indica se o passageiro está vivo.,qualitativa,nominal
alone,Indica se o passageiro estava sozinho.,qualitativa,nominal
